City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,kasongo-lunda,-6.4667,16.8167,27.81,87,92,1.26,CD,2023-04-05 09:00:00
192,mehriz,31.5917,54.4318,20.6,18,0,1.78,IR,2023-04-05 09:00:00
193,san patricio,28.017,-97.5169,24.11,91,100,7.22,US,2023-04-05 09:00:00
194,havelock,34.8791,-76.9013,17.86,88,15,1.89,US,2023-04-05 09:00:00
195,tual,-5.6667,132.75,28.57,71,80,3.11,ID,2023-04-05 09:00:00
196,cherskiy,68.75,161.3,-11.56,78,80,2.79,RU,2023-04-05 09:00:00
197,batemans bay,-35.7167,150.1833,20.98,64,24,0.41,AU,2023-04-05 09:00:00
198,victoria,22.2855,114.1577,25.7,90,62,4.41,HK,2023-04-05 09:00:00
199,obo,5.3998,26.4869,36.91,28,100,2.51,CF,2023-04-05 09:00:00
200,canutama,-6.5339,-64.3831,21.47,99,92,0.9,BR,2023-04-05 09:00:00
201,lavrentiya,65.5833,-171.0,-23.68,98,83,2.04,RU,2023-04-05 09:00:00
202,qasigiannguit,68.8193,-51.1922,-28.23,100,78,2.15,GL,2023-04-05 09:00:00
203,parasia,22.2,78.7667,31.47,22,50,4.54,IN,2023-04-05 09:00:00
204,tiszadob,48.0167,21.1667,4.64,52,97,8.48,HU,2023-04-05 09:00:00
205,taltal,-25.4,-70.4833,19.65,83,40,0.48,CL,2023-04-05 09:00:00
206,lorengau,-2.0226,147.2712,27.78,75,98,2.35,PG,2023-04-05 09:00:00
207,chuy,-33.6971,-53.4616,17.18,75,90,3.23,UY,2023-04-05 09:00:00
208,gweru,-19.45,29.8167,23.07,68,46,5.16,ZW,2023-04-05 09:00:00
209,vao,-22.6667,167.4833,24.67,78,99,3.61,NC,2023-04-05 09:00:00
210,sangod,24.9167,76.2833,33.48,15,0,1.0,IN,2023-04-05 09:00:00
211,cerrito,6.8432,-72.694,11.87,87,100,2.19,CO,2023-04-05 09:00:00
212,grande prairie,55.1667,-118.8027,-3.22,87,32,1.7,CA,2023-04-05 09:00:00
213,ahipara,-35.1667,173.1667,15.69,72,89,1.65,NZ,2023-04-05 09:00:00
214,malakal,9.5334,31.6605,39.21,11,67,3.64,SS,2023-04-05 09:00:00
215,chertkovo,49.3847,40.1547,15.84,62,95,6.31,RU,2023-04-05 09:00:00
216,srivardhan,18.0333,73.0167,30.56,51,1,6.74,IN,2023-04-05 09:00:00
217,youkounkoun,12.5333,-13.1333,28.37,43,12,3.28,GN,2023-04-05 09:00:00
218,vilhena,-12.7406,-60.1458,19.82,99,100,1.09,BR,2023-04-05 09:00:00
219,mayumba,-3.432,10.6554,26.33,85,95,0.05,GA,2023-04-05 09:00:00
220,suraia,45.6833,27.4,3.76,79,100,10.75,RO,2023-04-05 09:00:00
221,westport,41.1415,-73.3579,11.51,83,95,3.25,US,2023-04-05 09:00:00
222,shumyachi,53.8583,32.4242,12.22,80,100,4.74,RU,2023-04-05 09:00:00
223,bambous virieux,-20.3428,57.7575,27.83,76,58,3.31,MU,2023-04-05 09:00:00
224,megalopoli,37.4011,22.1422,12.38,75,50,4.3,GR,2023-04-05 09:00:00
225,tiksi,71.6872,128.8694,-20.6,98,100,4.98,RU,2023-04-05 09:00:00
